,tickers,open,bookValue,margin
317,GGRM.JK,20075.0,31185.768,11110.768
0,AALI.JK,6900.0,11438.758,4538.758
664,PNIN.JK,950.0,5260.827,4310.827
34,AMFG.JK,5750.0,9771.283,4021.2829999999994
740,SCCO.JK,2070.0,5969.732,3899.732
765,SMAR.JK,3820.0,6492.51,2672.51
171,BTPN.JK,2620.0,4799.22,2179.2200000000003
795,SRTG.JK,1450.0,3598.318,2148.318
396,INDS.JK,2420.0,4527.889,2107.889
23,AKPI.JK,700.0,2787.999,2087.999
107,BDMN.JK,3010.0,5037.74,2027.7399999999998
500,LPCK.JK,580.0,2535.162,1955.1619999999998
821,TCID.JK,2800.0,4732.187,1932.187
429,JECC.JK,3250.0,5137.601,1887.6009999999997
385,IMAS.JK,1405.0,3057.515,1652.5149999999999
391,INCI.JK,585.0,2079.514,1494.5140000000001
875,UNIT.JK,318.0,1790.496,1472.496
866,TUGU.JK,1245.0,2653.727,1408.7269999999999
693,PTPP.JK,505.0,1895.167,1390.167
577,MREI.JK,1445.0,2740.351,1295.351
567,MNCN.JK,348.0,1505.83,1157.83
431,JIHD.JK,372.0,1525.628,1153.628
504,LPLI.JK,224.0,1350.197,1126.197
362,HOPE.JK,35.0,1137.281,1102.281
699,PUDP.JK,525.0,1547.833,1022.8330000000001
321,GJTL.JK,1240.0,2259.436,1019.4360000000001
661,PNBN.JK,1165.0,2064.021,899.0210000000002
750,SGRO.JK,1995.0,2877.033,882.0329999999999
446,KBLM.JK,250.0,1119.044,869.0440000000001
198,CFIN.JK,525.0,1387.057,862.057
196,CEKA.JK,1900.0,2760.144,860.1439999999998
526,MAYA.JK,342.0,1175.495,833.4949999999999
551,MICE.JK,488.0,1312.546,824.546
246,DIVA.JK,142.0,956.434,814.434
207,CLPI.JK,980.0,1770.118,790.1179999999999
163,BSDE.JK,980.0,1743.895,763.895
508,LSIP.JK,905.0,1664.029,759.029
340,GWSA.JK,146.0,900.471,754.471
268,ECII.JK,274.0,1027.516,753.5160000000001
628,OMRE.JK,505.0,1237.032,732.0319999999999
757,SIMP.JK,390.0,1118.411,728.4110000000001
9,ADHI.JK,302.0,1024.736,722.7360000000001
142,BMTR.JK,256.0,942.549,686.549
719,RIGS.JK,498.0,1180.384,682.384
746,SDRA.JK,560.0,1198.973,638.973
69,ASRM.JK,1490.0,2123.372,633.3719999999998
509,LTLS.JK,1140.0,1767.811,627.8109999999999
665,PNLF.JK,290.0,914.585,624.585
176,BUKK.JK,1030.0,1631.769,601.769
576,MRAT.JK,376.0,964.887,588.887
819,TBLA.JK,675.0,1259.325,584.325
101,BBTN.JK,1595.0,2171.739,576.739
811,TALF.JK,310.0,855.093,545.093
73,AUTO.JK,2240.0,2766.4,526.4000000000001
262,DUCK.JK,182.0,708.337,526.337
441,KAEF.JK,925.0,1447.632,522.6320000000001
730,RUIS.JK,188.0,709.271,521.271
637,PANS.JK,1625.0,2141.163,516.163
256,DPNS.JK,404.0,916.964,512.964
492,LINK.JK,1085.0,1568.589,483.58899999999994
771,SMGR.JK,5925.0,6407.648,482.64800000000014
208,CMNP.JK,1615.0,2090.015,475.0149999999999
493,LION.JK,474.0,948.841,474.841
60,ASGR.JK,870.0,1328.532,458.5319999999999
515,MAIN.JK,505.0,948.366,443.366
233,DART.JK,133.0,574.45,441.45000000000005
59,ASDM.JK,500.0,941.15,441.15
861,TRST.JK,472.0,901.62,429.62
869,UCID.JK,915.0,1342.57,427.56999999999994
393,INDF.JK,6325.0,6741.474,416.47400000000016
127,BIRD.JK,1760.0,2172.368,412.36799999999994
502,LPIN.JK,326.0,723.43,397.42999999999995
68,ASRI.JK,160.0,546.314,386.31399999999996
789,SPMA.JK,348.0,725.523,377.523
420,ISSP.JK,304.0,653.658,349.658
566,MMLP.JK,292.0,639.312,347.312
562,MLIA.JK,412.0,749.414,337.414
645,PEHA.JK,550.0,869.975,319.975
760,SKBM.JK,258.0,572.901,314.90099999999995
141,BMSR.JK,340.0,651.332,311.332
571,MPMX.JK,1065.0,1376.294,311.2940000000001
94,BBLD.JK,550.0,847.623,297.62300000000005
445,KBLI.JK,310.0,606.312,296.312
658,PLIN.JK,2740.0,3023.671,283.6709999999998
143,BNBA.JK,635.0,917.381,282.381
908,WOOD.JK,336.0,615.34,279.34000000000003
58,ASBI.JK,845.0,1118.964,273.96399999999994
129,BJBR.JK,1215.0,1478.808,263.808
668,POLI.JK,735.0,969.675,234.67499999999995
613,NISP.JK,1400.0,1626.472,226.47199999999998
586,MTLA.JK,390.0,608.603,218.60299999999995
273,ELSA.JK,390.0,604.848,214.84799999999996
130,BJTM.JK,600.0,809.235,209.235
282,EPMT.JK,2430.0,2620.418,190.41800000000012
449,KDSI.JK,1750.0,1935.292,185.29199999999992
260,DSNG.JK,640.0,822.268,182.26800000000003
379,IGAR.JK,444.0,608.528,164.52800000000002
276,EMTK.JK,434.0,578.105,144.10500000000002
147,BNLI.JK,970.0,1105.331,135.3309999999999
654,PJAA.JK,910.0,1029.475,119.47499999999991
709,RALS.JK,478.0,588.856,110.856
833,TINS.JK,800.0,891.617,91.61699999999996
767,SMCB.JK,1305.0,1386.416,81.41599999999994
778,SMRA.JK,530.0,595.255,65.255
436,JRPT.JK,640.0,695.846,55.846000000000004
824,TEBE.JK,780.0,827.084,47.083999999999946
223,CSAP.JK,575.0,574.584,-0.41600000000005366
435,JPFA.JK,1160.0,1137.484,-22.516000000000076
411,IPCC.JK,695.0,667.3,-27.700000000000045
814,TAPG.JK,590.0,548.744,-41.25599999999997
796,SSIA.JK,895.0,838.944,-56.05600000000004
638,PBID.JK,1495.0,1399.283,-95.7170000000001
704,PYFA.JK,830.0,666.88,-163.12
251,DMND.JK,775.0,592.949,-182.05100000000004
90,BAYU.JK,1405.0,1174.146,-230.85400000000004
145,BNGA.JK,2200.0,1965.78,-234.22000000000003
172,BTPS.JK,1380.0,1139.025,-240.9749999999999
759,SIPD.JK,900.0,657.578,-242.42200000000003
26,ALDO.JK,850.0,603.944,-246.05600000000004
228,CTRA.JK,1305.0,1046.986,-258.0139999999999
264,DVLA.JK,1525.0,1261.864,-263.13599999999997
292,EXCL.JK,2280.0,2016.56,-263.44000000000005
865,TSPC.JK,1995.0,1707.822,-287.1780000000001
695,PTPW.JK,930.0,633.639,-296.361
458,KINO.JK,1450.0,1105.121,-344.8789999999999
160,BRNA.JK,955.0,606.567,-348.433
729,RSGK.JK,1160.0,799.975,-360.025
62,ASII.JK,5275.0,4906.684,-368.3159999999998
797,SSMS.JK,1025.0,651.308,-373.692
16,AGII.JK,1605.0,1224.231,-380.769
319,GHON.JK,1885.0,1419.961,-465.039
663,PNGO.JK,1555.0,1033.143,-521.857
751,SHID.JK,1235.0,684.681,-550.319
439,JSPT.JK,1505.0,890.441,-614.559
116,BFIN.JK,1320.0,631.615,-688.385
899,WIIM.JK,1555.0,861.261,-693.739
698,PTSP.JK,1250.0,551.792,-698.208
84,BALI.JK,1350.0,639.242,-710.758
587,MTMH.JK,1290.0,547.963,-742.037
42,ANTM.JK,1640.0,846.6,-793.4
524,MASB.JK,3400.0,2589.891,-810.1089999999999
605,NFCX.JK,1665.0,804.651,-860.349
501,LPGI.JK,3660.0,2798.06,-861.94
128,BISI.JK,2080.0,1148.513,-931.4870000000001
689,PTBA.JK,2970.0,1865.948,-1104.052
24,AKRA.JK,1705.0,570.63,-1134.37
203,CITA.JK,2270.0,1132.483,-1137.517
519,MAPB.JK,1910.0,724.443,-1185.557
520,MAPI.JK,1805.0,578.656,-1226.344
872,ULTJ.JK,1865.0,611.967,-1253.033
682,PRDA.JK,3900.0,2515.392,-1384.6080000000002
780,SMSM.JK,1955.0,545.427,-1409.5729999999999
755,SILO.JK,2380.0,583.293,-1796.7069999999999
438,JSMR.JK,5675.0,3842.923,-1832.0770000000002
594,MYOR.JK,2570.0,672.646,-1897.354
158,BRIS.JK,2740.0,839.795,-1900.205
96,BBNI.JK,5950.0,4029.627,-1920.373
546,MFIN.JK,3190.0,1258.66,-1931.34
167,BSWD.JK,3070.0,999.428,-2070.572
838,TLKM.JK,3470.0,1370.29,-2099.71
57,ARTO.JK,2740.0,603.106,-2136.8940000000002
248,DLTA.JK,3400.0,1116.763,-2283.237
544,MERK.JK,4030.0,1661.322,-2368.678
10,ADMF.JK,13700.0,11112.186,-2587.8140000000003
408,INTP.JK,8750.0,6111.647,-2638.353
878,UNTR.JK,24625.0,21821.232,-2803.768
713,RDTX.JK,14350.0,11147.702,-3202.2980000000007
541,MEGA.JK,5175.0,1852.958,-3322.042
269,EDGE.JK,4210.0,685.546,-3524.4539999999997
218,CPIN.JK,5175.0,1647.304,-3527.696
123,BINA.JK,4200.0,571.221,-3628.779
99,BBSI.JK,4600.0,860.115,-3739.885
253,DNET.JK,4650.0,898.158,-3751.842
211,CMRY.JK,4740.0,748.764,-3991.236
97,BBRI.JK,6100.0,2057.853,-4042.147
293,FAPA.JK,5300.0,1053.537,-4246.463
829,TGKA.JK,6550.0,2199.003,-4350.996999999999
140,BMRI.JK,7150.0,2794.851,-4355.148999999999
635,PANI.JK,5450.0,827.616,-4622.384
8,ADES.JK,9100.0,2757.626,-6342.374
561,MLBI.JK,7050.0,592.876,-6457.124
802,STTP.JK,10800.0,3502.347,-7297.653
419,ISAT.JK,11275.0,3813.359,-7461.641
373,ICBP.JK,11025.0,3494.297,-7530.7029999999995
154,BPII.JK,10650.0,2965.267,-7684.733
91,BBCA.JK,10025.0,1965.98,-8059.02
776,SMMA.JK,14600.0,3597.947,-11002.053
559,MKPI.JK,27225.0,7009.234,-20215.766
235,DCII.JK,35500.0,880.802,-34619.198
263,DUTI.JK,,5551.511,
806,SUPR.JK,,4700.712,
372,IBST.JK,,4657.806,
491,LIFE.JK,,3543.32,
2,ABDA.JK,,2382.333,
295,FASW.JK,,1760.887,
95,BBMD.JK,,1182.287,
498,LMSH.JK,,1114.766,
785,SONA.JK,,891.805,
900,WIKA.JK,,788.199,
325,GMTD.JK,,638.397,
